Candidate Name,Affiliation,Incumbent,Percentage of Vote,Winner,State,District,Money Raised,Money Spent
Kai Kahele,D,False,57.9,True,Hawaii,02,1235523.0,1039637.0
Joe Akana,R,False,28.3,False,Hawaii,02,54534.0,55344.0
Jonathan Hoomanawanui,3,False,2.2,False,Hawaii,02,1883.0,1522.0
Russ Fulcher,R,True,67.8,True,Idaho,01,575485.0,508457.0
Rudy Soto,D,False,28.7,False,Idaho,01,302902.0,302902.0
Mike Simpson,R,True,64.1,True,Idaho,02,1008847.0,1099604.0
Aaron Swisher,D,False,31.7,False,Idaho,02,70674.0,70268.0
Bobby Rush,D,True,73.8,True,Illinois,01,541435.0,496454.0
Philanise White,R,False,26.2,False,Illinois,01,6289.0,5048.0
Robin Kelly,D,True,78.8,True,Illinois,02,1634783.0,1108137.0
Marie Newman,D,False,56.4,True,Illinois,03,2802093.0,2699323.0
Mike Fricilone,R,False,43.6,False,Illinois,03,128458.0,127980.0
Jesus Garcia,D,True,16.0,True,Illinois,04,822846.0,711159.0
Jesus Solorio Jr,R,False,84.0,False,Illinois,04,2065.0,843.0
Mike Quigley,D,True,70.8,True,Illinois,05,1171507.0,926655.0
Sean Casten,D,True,52.8,True,Illinois,06,5582179.0,5313570.0
Jeanne Ives,R,False,45.4,False,Illinois,06,3157771.0,3135464.0
Bill Redpath,L,False,1.7,False,Illinois,06,9837.0,9837.0
Danny K Davis,D,True,80.4,True,Illinois,07,544690.0,505506.0
Tracy Jennings,3,False,6.2,False,Illinois,07,65283.0,65283.0
Raja Krishnamoorthi,D,True,73.2,True,Illinois,08,6358878.0,2207703.0
Jan Schakowsky,D,True,71.0,True,Illinois,09,1834801.0,1514838.0
Sargis Sangari,R,False,29.0,False,Illinois,09,35364.0,34715.0
Brad Schneider,D,True,63.8,True,Illinois,10,3459512.0,2873333.0
Valerie Ramirez Mukherjee,R,False,36.2,False,Illinois,10,130225.0,64764.0
Bill Foster,D,True,63.3,True,Illinois,11,2381354.0,1823906.0
Rick Laib,R,False,36.7,False,Illinois,11,20343.0,20064.0
Mike Bost,R,True,60.6,True,Illinois,12,1918041.0,1509573.0
Ray Lenzi,D,False,39.4,False,Illinois,12,161324.0,104809.0
Rodney Davis,R,True,54.4,True,Illinois,13,4943459.0,4822600.0
Betsy Dirksen Londrigan,D,False,45.6,False,Illinois,13,5297007.0,5281880.0
Lauren A Underwood,D,True,50.7,True,Illinois,14,7803579.0,7301503.0
Jim Oberweis,R,False,49.3,False,Illinois,14,2438857.0,2348798.0
Mary Miller,R,False,73.5,True,Illinois,15,689057.0,570356.0
Erika Weaver,D,False,26.5,False,Illinois,15,58689.0,23349.0
Adam Kinzinger,R,True,64.8,True,Illinois,16,2105736.0,1588550.0
Dani Brzozowski,D,False,35.2,False,Illinois,16,459344.0,376167.0
Cheri Bustos,D,True,52.0,True,Illinois,17,4975192.0,6391009.0
Esther Joy King,R,False,48.0,False,Illinois,17,2032878.0,2030587.0
Darin LaHood,R,True,70.5,True,Illinois,18,3248113.0,1749128.0
Frank Mrvan Jr,D,False,56.6,True,Indiana,01,578635.0,464407.0
Mark Leyva,R,False,40.4,False,Indiana,01,16551.0,15343.0
Jackie Walorski,R,True,61.5,True,Indiana,02,2383467.0,1698202.0
Pat Hackett,D,False,38.5,False,Indiana,02,881888.0,867301.0
Jim Banks,R,True,67.8,True,Indiana,03,1202509.0,769591.0
Chip Coldiron,D,False,32.2,False,Indiana,03,94056.0,89883.0
Jim Baird,R,True,66.6,True,Indiana,04,327727.0,190158.0
