candidate_name,party,incumbent,winner,perc_vote,money_raised,money_spent,state_name,district,state_dist,perc_vote_max,winner_bool
Gus Bilirakis,R,1,1,62.9,1604137,1548634,FL,12,FL12,62.9,1
Kim Walker,D,0,0,37.1,42802,33544,FL,12,FL12,62.9,0
Charlie Crist,D,1,1,53.0,2720646,3980695,FL,13,FL13,53.0,1
Anna Paulina Luna,R,0,0,47.0,3302944,3262236,FL,13,FL13,53.0,0
Kathy Castor,D,1,1,60.3,884651,1201653,FL,14,FL14,60.3,1
Christine Quinn,R,0,0,39.7,242144,241187,FL,14,FL14,60.3,0
Alan Cohn,D,0,0,44.6,2333053,2300197,FL,15,FL15,55.4,0
Scott Franklin,R,0,1,55.4,1663898,1638417,FL,15,FL15,55.4,1
Vernon Buchanan,R,1,1,55.5,3094611,3100766,FL,16,FL16,55.5,1
Margaret Good,D,0,0,44.5,3411924,3407845,FL,16,FL16,55.5,0
Greg Steube,R,1,1,64.6,759908,621200,FL,17,FL17,64.6,1
Allen Ellison,D,0,0,34.1,83481,78243,FL,17,FL17,64.6,0
Brian Mast,R,1,1,56.4,6128177,5301307,FL,18,FL18,56.4,1
Pam Keith,D,0,0,41.5,1639873,1632736,FL,18,FL18,56.4,0
Byron Donalds,R,0,1,61.3,3219579,2738685,FL,19,FL19,61.3,1
Cindy Banyai,D,0,0,38.7,214750,203430,FL,19,FL19,61.3,0
Alcee Hastings,D,1,1,78.7,607649,543316,FL,20,FL20,78.7,1
Greg Musselwhite,R,0,0,21.3,28955,27538,FL,20,FL20,78.7,0
Lois Frankel,D,1,1,59.0,1534882,1309786,FL,21,FL21,59.0,1
Laura Loomer,R,0,0,39.1,2271604,2240689,FL,21,FL21,59.0,0
Charleston Malkemus,I,0,0,1.9,28928,28636,FL,21,FL21,59.0,0
Ted Deutch,D,1,1,58.6,1364438,1265494,FL,22,FL22,58.6,1
Jim Pruden,R,0,0,41.4,278416,278416,FL,22,FL22,58.6,0
Debbie Wasserman Schultz,D,1,1,58.2,2191922,1979903,FL,23,FL23,58.2,1
Carla Spalding,R,0,0,41.8,919579,903561,FL,23,FL23,58.2,0
Frederica Wilson,D,1,1,75.6,412592,321019,FL,24,FL24,75.6,1
Lavern Spicer,R,0,0,20.4,34973,34909,FL,24,FL24,75.6,0
Christine Olivo,I,0,0,4.0,31646,32898,FL,24,FL24,75.6,0
Mario DiazBalart,R,1,1,100.0,1590134,804054,FL,25,FL25,100.0,1
Debbie MucarselPowell,D,1,0,48.3,6793521,6822740,FL,26,FL26,51.7,0
Carlos Gimenez,R,0,1,51.7,2226559,2187389,FL,26,FL26,51.7,1
Donna Shalala,D,1,0,48.6,3842907,3735966,FL,27,FL27,51.4,0
Maria Salazar,R,0,1,51.4,3654190,3645814,FL,27,FL27,51.4,1
Frank Polo,I,0,0,0.0,4606,4662,FL,27,FL27,51.4,0
Buddy Carter,R,1,1,58.4,2315487,1734754,GA,01,GA01,58.4,1
Joyce Griggs,D,0,0,41.7,130043,125000,GA,01,GA01,58.4,0
Sanford Bishop,D,1,1,59.1,1540683,1440571,GA,02,GA02,59.1,1
Don Cole,R,0,0,40.9,164274,162522,GA,02,GA02,59.1,0
Drew Ferguson,R,1,1,65.0,2374212,2150911,GA,03,GA03,65.0,1
Val Almonord,D,0,0,35.0,35762,31946,GA,03,GA03,65.0,0
Hank Johnson,D,1,1,80.1,628303,490360,GA,04,GA04,80.1,1
Johsira C. Cruz,R,0,0,19.9,12954,23146,GA,04,GA04,80.1,0
Nikema Williams,D,0,1,85.2,553964,362801,GA,05,GA05,85.2,1
Robert Franklin,D,0,0,0.0,360473,358394,GA,05,GA05,85.2,0
Angela Stanton-King,R,0,0,14.9,305279,301338,GA,05,GA05,85.2,0
Kwanza Hall,D,0,0,0.0,239597,227091,GA,05,GA05,85.2,0
Barrington Martin II,D,0,0,0.0,16522,16517,GA,05,GA05,85.2,0
Chase Oliver,L,0,0,0.0,9225,5220,GA,05,GA05,85.2,0
Steven Muhammad,I,0,0,0.0,3497,4965,GA,05,GA05,85.2,0
Keisha Waites,D,0,0,0.0,875,0,GA,05,GA05,85.2,0
Lucy McBath,D,1,1,54.6,8507298,8586054,GA,06,GA06,54.6,1
Karen Handel,R,0,0,45.4,3026243,3072932,GA,06,GA06,54.6,0
Carolyn Bourdeaux,D,0,1,54.4,5133244,5161230,GA,07,GA07,54.4,1
Richard McCormick,R,0,0,48.6,2595446,2563724,GA,07,GA07,54.4,0
Austin Scott,R,1,1,64.5,821745,716159,GA,08,GA08,64.5,1
Jimmy Cooper,3,0,0,0.0,8542,8528,GA,08,GA08,64.5,0
Lindsay Holliday,D,0,0,35.5,7480,5220,GA,08,GA08,64.5,0
Andrew Clyde,R,0,1,78.6,1569425,1561316,GA,09,GA09,78.6,1
Devin Pandy,D,0,0,21.4,84272,84623,GA,09,GA09,78.6,0
Jody Hice,R,1,1,62.3,595947,457648,GA,10,GA10,62.3,1
Tabitha Johnson-Green,D,0,0,37.7,14808,12214,GA,10,GA10,62.3,0
Barry Loudermilk,R,1,1,60.4,877767,700851,GA,11,GA11,60.4,1
Dana Barrett,D,0,0,39.6,404625,394977,GA,11,GA11,60.4,0
Richard W Allen,R,1,1,58.4,1228970,662818,GA,12,GA12,58.4,1
Liz Johnson,D,0,0,41.6,72061,72061,GA,12,GA12,58.4,0
David Scott,D,1,1,77.4,1209614,1131746,GA,13,GA13,77.4,1
Becky Hites,R,0,0,22.6,63509,62935,GA,13,GA13,77.4,0
Martin Cowen,L,0,0,0.0,13460,13464,GA,13,GA13,77.4,0
Marjorie Taylor Greene,R,0,1,74.8,2596914,2237599,GA,14,GA14,74.8,1
Ed Case,D,1,0,64.7,508249,472569,HI,01,HI01,64.7,1
Ron Curtis,R,0,0,25.1,12538,12647,HI,01,HI01,64.7,0
Kai Kahele,D,0,1,57.9,1235523,1039637,HI,02,HI02,57.9,1
Joe Akana,R,0,0,28.3,54534,55344,HI,02,HI02,57.9,0
Jonathan Hoomanawanui,3,0,0,2.2,1883,1522,HI,02,HI02,57.9,0
Russ Fulcher,R,1,1,67.8,575485,508457,ID,01,ID01,67.8,1
Rudy Soto,D,0,0,28.7,302902,302902,ID,01,ID01,67.8,0
Mike Simpson,R,1,1,64.1,1008847,1099604,ID,02,ID02,64.1,1
Aaron Swisher,D,0,0,31.7,70674,70268,ID,02,ID02,64.1,0
Bobby Rush,D,1,1,73.8,541435,496454,IL,01,IL01,73.8,1
Philanise White,R,0,0,26.2,6289,5048,IL,01,IL01,73.8,0
Robin Kelly,D,1,1,78.8,1634783,1108137,IL,02,IL02,78.8,1
Marie Newman,D,0,1,56.4,2802093,2699323,IL,03,IL03,56.4,1
Mike Fricilone,R,0,0,43.6,128458,127980,IL,03,IL03,56.4,0
Jesus Garcia,D,1,1,16.0,822846,711159,IL,04,IL04,84.0,0
Jesus Solorio Jr,R,0,0,84.0,2065,843,IL,04,IL04,84.0,1
Mike Quigley,D,1,1,70.8,1171507,926655,IL,05,IL05,70.8,1
Sean Casten,D,1,1,52.8,5582179,5313570,IL,06,IL06,52.8,1
Jeanne Ives,R,0,0,45.4,3157771,3135464,IL,06,IL06,52.8,0
Bill Redpath,L,0,0,1.7,9837,9837,IL,06,IL06,52.8,0
Danny K Davis,D,1,1,80.4,544690,505506,IL,07,IL07,80.4,1
Tracy Jennings,3,0,0,6.2,65283,65283,IL,07,IL07,80.4,0
Raja Krishnamoorthi,D,1,1,73.2,6358878,2207703,IL,08,IL08,73.2,1
Jan Schakowsky,D,1,1,71.0,1834801,1514838,IL,09,IL09,71.0,1
Sargis Sangari,R,0,0,29.0,35364,34715,IL,09,IL09,71.0,0
Brad Schneider,D,1,1,63.8,3459512,2873333,IL,10,IL10,63.8,1
Valerie Ramirez Mukherjee,R,0,0,36.2,130225,64764,IL,10,IL10,63.8,0
Bill Foster,D,1,1,63.3,2381354,1823906,IL,11,IL11,63.3,1
Rick Laib,R,0,0,36.7,20343,20064,IL,11,IL11,63.3,0
Mike Bost,R,1,1,60.6,1918041,1509573,IL,12,IL12,60.6,1
Ray Lenzi,D,0,0,39.4,161324,104809,IL,12,IL12,60.6,0
Rodney Davis,R,1,1,54.4,4943459,4822600,IL,13,IL13,54.4,1
Betsy Dirksen Londrigan,D,0,0,45.6,5297007,5281880,IL,13,IL13,54.4,0
Lauren A Underwood,D,1,1,50.7,7803579,7301503,IL,14,IL14,50.7,1
Jim Oberweis,R,0,0,49.3,2438857,2348798,IL,14,IL14,50.7,0
Mary Miller,R,0,1,73.5,689057,570356,IL,15,IL15,73.5,1
Erika Weaver,D,0,0,26.5,58689,23349,IL,15,IL15,73.5,0
Adam Kinzinger,R,1,1,64.8,2105736,1588550,IL,16,IL16,64.8,1
Dani Brzozowski,D,0,0,35.2,459344,376167,IL,16,IL16,64.8,0
Cheri Bustos,D,1,1,52.0,4975192,6391009,IL,17,IL17,52.0,1
Esther Joy King,R,0,0,48.0,2032878,2030587,IL,17,IL17,52.0,0
Darin LaHood,R,1,1,70.5,3248113,1749128,IL,18,IL18,70.5,1
Frank Mrvan Jr,D,0,1,56.6,578635,464407,IN,01,IN01,56.6,1
Mark Leyva,R,0,0,40.4,16551,15343,IN,01,IN01,56.6,0
Jackie Walorski,R,1,1,61.5,2383467,1698202,IN,02,IN02,61.5,1
Pat Hackett,D,0,0,38.5,881888,867301,IN,02,IN02,61.5,0
Jim Banks,R,1,1,67.8,1202509,769591,IN,03,IN03,67.8,1
Chip Coldiron,D,0,0,32.2,94056,89883,IN,03,IN03,67.8,0
Jim Baird,R,1,1,66.6,327727,190158,IN,04,IN04,66.6,1
Joe Mackey,D,0,0,33.4,44585,43213,IN,04,IN04,66.6,0
Christina Hale,D,0,0,45.9,4010368,3998905,IN,05,IN05,50.0,0
Victoria Spartz,R,0,1,50.0,3119328,3010203,IN,05,IN05,50.0,1
Greg Pence,R,1,1,68.7,3114448,2804148,IN,06,IN06,68.7,1
Jeannine Lee Lake,D,0,0,27.7,143089,145315,IN,06,IN06,68.7,0
Andre Carson,D,1,1,62.4,1011635,873962,IN,07,IN07,62.4,1
Susan Marie Smith,R,0,0,37.6,62905,59843,IN,07,IN07,62.4,0
Larry Bucshon,R,1,1,66.9,1051336,1078646,IN,08,IN08,66.9,1
Thomasina Marsili,D,0,0,29.8,68734,68480,IN,08,IN08,66.9,0
Trey Hollingsworth,R,1,1,60.9,1166754,501136,IN,09,IN09,60.9,1
Andy Ruff,D,0,0,34.8,148263,134906,IN,09,IN09,60.9,0
Tonya Millis,L,0,0,4.3,10224,10041,IN,09,IN09,60.9,0
Abby Finkenauer,D,1,0,48.7,5901441,5875405,IA,01,IA01,51.3,0
Ashley Hinson,R,0,1,51.3,5175883,5059211,IA,01,IA01,51.3,1
Rita Hart,D,0,0,50.0,4232992,4114400,IA,02,IA02,50.0,0
Mariannette Miller-Meeks,R,0,1,50.0,2174194,1721926,IA,02,IA02,50.0,1
Cindy Axne,D,1,1,49.0,6236976,6236994,IA,03,IA03,49.0,1
David Young,R,0,0,47.6,3170072,3094582,IA,03,IA03,49.0,0
J.D. Scholten,D,0,0,62.1,2885915,2902003,IA,04,IA04,62.1,1
Randy Feenstra,R,0,1,37.9,1906234,1894288,IA,04,IA04,62.1,0
Tracey Mann,R,0,1,71.4,1403353,1127156,KS,01,KS01,71.4,1
Kali Barnett,D,0,0,28.6,603036,592924,KS,01,KS01,71.4,0
Michelle De La Isla,D,0,0,40.5,1825085,1810968,KS,02,KS02,55.3,0
Jake Laturner,R,0,1,55.3,1593407,1578460,KS,02,KS02,55.3,1
Sharice Davids,D,1,1,53.4,5638552,5168034,KS,03,KS03,53.4,1
Amanda Adkins,R,0,0,43.8,2182382,2139673,KS,03,KS03,53.4,0
